Provinsi,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
ACEH,14.31,14.3,14.27,14.13,13.89,13.73,13.53,13.36,13.19,13.03,12.9
SUMATERA UTARA,13.23,13.15,13.14,13.1,13,12.82,12.61,12.41,11.97,11.83,11.82
SUMATERA BARAT,14.02,14.01,13.95,13.94,13.79,13.6,13.48,13.16,12.81,12.52,12.22
RIAU,13.2,13.14,13.11,13.03,12.86,12.74,12.45,12.27,11.79,11.78,11.76
JAMBI,12.98,12.93,12.9,12.87,12.72,12.57,12.38,12.17,11.73,11.6,11.34
SUMATERA SELATAN,12.45,12.39,12.36,12.35,12.23,12.02,11.75,11.46,11.42,11.21,11.03
BENGKULU,13.61,13.59,13.58,13.57,13.38,13.18,13.01,12.78,12.2,11.88,11.59
LAMPUNG,12.65,12.63,12.61,12.46,12.35,12.25,12.24,11.9,11.37,11.04,10.88
KEP. BANGKA BELITUNG,12.05,11.94,11.87,11.83,11.71,11.6,11.18,10.96,10.79,10.7,10.48
KEPULAUAN RIAU,12.87,12.83,12.82,12.81,12.66,12.6,12.51,12.26,11.9,11.61,11.51
DKI JAKARTA,12.98,12.97,12.95,12.86,12.73,12.59,12.38,12.24,11.96,11.91,11.86
JAWA BARAT,12.5,12.48,12.45,12.42,12.3,12.15,12.08,11.81,11.24,10.91,10.69
JAWA TENGAH,12.7,12.68,12.63,12.57,12.45,12.38,12.17,11.89,11.39,11.18,11.09
D I YOGYAKARTA,15.59,15.58,15.56,15.42,15.23,15.03,14.85,14.67,14.64,14.61,14.15
JAWA TIMUR,13.19,13.16,13.1,13.09,12.98,12.66,12.45,12.17,11.74,11.62,11.49
BANTEN,12.89,12.88,12.85,12.78,12.7,12.35,12.31,12.05,11.79,11.41,11.02
BALI,13.33,13.27,13.23,13.21,13.04,12.97,12.64,12.4,12.26,12.12,11.71
NUSA TENGGARA BARAT,13.7,13.48,13.47,13.46,13.16,13.04,12.73,12.46,12.21,11.97,11.66
NUSA TENGGARA TIMUR,13.18,13.15,13.1,13.07,12.97,12.84,12.65,12.27,11.73,11.55,10.85
KALIMANTAN BARAT,12.6,12.58,12.55,12.5,12.37,12.25,11.89,11.6,11.11,10.8,10.79
KALIMANTAN TENGAH,12.66,12.57,12.55,12.45,12.33,12.22,11.93,11.71,11.22,11.15,11.09
KALIMANTAN SELATAN,12.68,12.52,12.5,12.46,12.29,12.21,11.96,11.67,11.54,11.14,10.86
KALIMANTAN TIMUR,13.72,13.69,13.67,13.49,13.35,13.18,13.17,12.85,12.46,12.06,11.87
KALIMANTAN UTARA,12.93,12.84,12.82,12.79,12.59,12.54,12.52,12.3,,,
SULAWESI UTARA,12.85,12.73,12.68,12.66,12.55,12.43,12.16,11.88,11.77,11.5,11.34
SULAWESI TENGAH,13.17,13.14,13.13,13.04,12.92,12.72,12.71,12.36,12.09,11.82,11.17
SULAWESI SELATAN,13.45,13.36,13.34,13.28,13.16,12.99,12.9,12.52,12.16,11.82,11.47
SULAWESI TENGGARA,13.65,13.55,13.53,13.36,13.24,13.07,12.78,12.45,12.45,12.3,12.15
GORONTALO,13.08,13.06,13.03,13.01,12.88,12.7,12.49,12.13,11.78,11.68,11.12
SULAWESI BARAT,12.77,12.62,12.59,12.48,12.34,12.22,11.78,11.46,11.28,11.21,10.58
MALUKU,13.96,13.94,13.92,13.91,13.73,13.56,13.53,13.35,12.96,12.85,12.62
MALUKU UTARA,13.67,13.63,13.62,13.56,13.45,13.1,12.72,12.48,12.19,11.79,11.74
PAPUA BARAT,12.91,12.72,12.53,12.47,12.26,12.06,11.87,11.67,11.45,11.21,11.1
PAPUA,11.08,11.05,10.83,10.54,10.23,9.95,9.94,9.58,9.11,8.92,8.57
