Provinsi,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
ACEH,71.99,71.9,71.19,70.6,70,69.45,68.81,68.3,67.81,67.45,67.09
SUMATERA UTARA,71.77,71.74,71.18,70.57,70,69.51,68.87,68.36,67.74,67.34,67.09
SUMATERA BARAT,72.38,72.39,71.73,71.24,70.73,69.98,69.36,68.91,68.36,67.81,67.25
RIAU,72.71,73,72.44,71.79,71.2,70.84,70.33,69.91,69.15,68.9,68.65
JAMBI,71.29,71.26,70.65,69.99,69.62,68.89,68.24,67.76,66.94,66.14,65.39
SUMATERA SELATAN,70.01,70.02,69.39,68.86,68.24,67.46,66.75,66.16,65.79,65.12,64.44
BENGKULU,71.4,71.21,70.64,69.95,69.33,68.59,68.06,67.5,66.61,65.96,65.35
LAMPUNG,69.69,69.57,69.02,68.25,67.65,66.95,66.42,65.73,64.87,64.2,63.71
KEP. BANGKA BELITUNG,71.47,71.3,70.67,69.99,69.55,69.05,68.27,67.92,67.21,66.59,66.02
KEPULAUAN RIAU,75.59,75.48,74.84,74.45,73.99,73.75,73.4,73.02,72.36,71.61,71.13
DKI JAKARTA,80.77,80.76,80.47,80.06,79.6,78.99,78.39,78.08,77.53,76.98,76.31
JAWA BARAT,72.09,72.03,71.3,70.69,70.05,69.5,68.8,68.25,67.32,66.67,66.15
JAWA TENGAH,71.87,71.73,71.12,70.52,69.98,69.49,68.78,68.02,67.21,66.64,66.08
D I YOGYAKARTA,79.97,79.99,79.53,78.89,78.38,77.59,76.81,76.44,76.15,75.93,75.37
JAWA TIMUR,71.71,71.5,70.77,70.27,69.74,68.95,68.14,67.55,66.74,66.06,65.36
BANTEN,72.45,72.44,71.95,71.42,70.96,70.27,69.89,69.47,68.92,68.22,67.54
BALI,75.5,75.38,74.77,74.3,73.65,73.27,72.48,72.09,71.62,70.87,70.1
NUSA TENGGARA BARAT,68.25,68.14,67.3,66.58,65.81,65.19,64.31,63.76,62.98,62.14,61.16
NUSA TENGGARA TIMUR,65.19,65.23,64.39,63.73,63.13,62.67,62.26,61.68,60.81,60.24,59.21
KALIMANTAN BARAT,67.66,67.65,66.98,66.26,65.88,65.59,64.89,64.3,63.41,62.35,61.97
KALIMANTAN TENGAH,71.05,70.91,70.42,69.79,69.13,68.53,67.77,67.41,66.66,66.38,65.96
KALIMANTAN SELATAN,70.91,70.72,70.17,69.65,69.05,68.38,67.63,67.17,66.68,65.89,65.2
KALIMANTAN TIMUR,76.24,76.61,75.83,75.12,74.59,74.17,73.82,73.21,72.62,72.02,71.31
KALIMANTAN UTARA,70.63,71.15,70.56,69.84,69.2,68.76,68.64,67.99,,,
SULAWESI UTARA,72.93,72.99,72.2,71.66,71.05,70.39,69.96,69.49,69.04,68.31,67.83
SULAWESI TENGAH,69.55,69.5,68.88,68.11,67.47,66.76,66.43,65.79,65,64.27,63.29
SULAWESI SELATAN,71.93,71.66,70.9,70.34,69.76,69.15,68.49,67.92,67.26,66.65,66
SULAWESI TENGGARA,71.45,71.2,70.61,69.86,69.31,68.75,68.07,67.55,67.07,66.52,65.99
GORONTALO,68.68,68.49,67.71,67.01,66.29,65.86,65.17,64.7,64.16,63.48,62.65
SULAWESI BARAT,66.11,65.73,65.1,64.3,63.6,62.96,62.24,61.53,61.01,60.63,59.74
MALUKU,69.49,69.45,68.87,68.19,67.6,67.05,66.74,66.09,65.43,64.75,64.27
MALUKU UTARA,68.49,68.7,67.76,67.2,66.63,65.91,65.18,64.78,63.93,63.19,62.79
PAPUA BARAT,65.09,64.7,63.74,62.99,62.21,61.73,61.28,60.91,60.3,59.9,59.6
PAPUA,60.44,60.84,60.06,59.09,58.05,57.25,56.75,56.25,55.55,55.01,54.45
