Provinsi,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
ACEH,9492,9603,9186,8957,8768,8533,8297,8289,8134,8044,7934
SUMATERA UTARA,10420,10649,10391,10036,9744,9563,9391,9309,9266,9231,9196
SUMATERA BARAT,10733,10925,10638,10306,10126,9804,9621,9570,9479,9409,9339
RIAU,10675,11255,10968,10677,10465,10364,10262,10180,10058,9957,9857
JAMBI,10392,10592,10357,9880,9795,9446,9141,9066,8944,8664,8478
SUMATERA SELATAN,10652,10937,10652,10220,9935,9474,9302,9231,9040,8803,8536
BENGKULU,10380,10409,10162,9778,9492,9123,8864,8803,8682,8572,8459
LAMPUNG,9982,10114,9858,9413,9156,8729,8476,8415,8273,8118,7964
KEP. BANGKA BELITUNG,12794,12959,12666,12066,11960,11781,11691,11657,11218,10808,10707
KEPULAUAN RIAU,14209,14466,13976,13566,13359,13177,13019,12942,12740,12513,12267
DKI JAKARTA,18227,18527,18128,17707,17468,17075,16898,16828,16613,15943,15111
JAWA BARAT,10845,11152,10790,10285,10035,9778,9447,9421,9325,9249,9174
JAWA TENGAH,10930,11102,10777,10377,10153,9930,9640,9618,9497,9296,8992
D I YOGYAKARTA,14015,14394,13946,13521,13229,12684,12294,12261,12137,12115,12080
JAWA TIMUR,11601,11739,11380,10973,10715,10383,10012,9978,9797,9396,9002
BANTEN,11964,12267,11994,11659,11469,11261,11150,11061,11008,10933,10777
BALI,13929,14146,13886,13573,13279,13078,12831,12738,12530,12307,12074
NUSA TENGGARA BARAT,10351,10640,10284,9877,9575,9241,8987,8950,8853,8759,8707
NUSA TENGGARA TIMUR,7598,7769,7566,7350,7122,7003,6934,6899,6785,6678,6615
KALIMANTAN BARAT,8930,9055,8860,8472,8348,8279,8175,8127,8002,7825,7654
KALIMANTAN TENGAH,11154,11236,10931,10492,10155,9809,9682,9641,9557,9472,9257
KALIMANTAN SELATAN,12032,12253,12062,11600,11307,10891,10748,10655,10553,10437,10304
KALIMANTAN TIMUR,11728,12359,11917,11612,11355,11229,11019,10981,10944,10927,10790
KALIMANTAN UTARA,8756,9343,8943,8643,8434,8354,8289,8229,,,
SULAWESI UTARA,10791,11115,10731,10422,10148,9729,9628,9583,9430,9113,8935
SULAWESI TENGAH,9335,9604,9488,9311,9034,8768,8602,8501,8286,8077,7988
SULAWESI SELATAN,11079,11118,10814,10489,10281,9992,9723,9632,9560,9459,9331
SULAWESI TENGGARA,9331,9436,9262,9094,8871,8697,8555,8537,8396,8249,8126
GORONTALO,10020,10075,9839,9532,9175,9035,8762,8719,8673,8293,8207
SULAWESI BARAT,9168,9235,9051,8736,8450,8260,8170,8148,8091,8049,8003
MALUKU,8732,8887,8721,8433,8215,8026,7925,7872,7727,7437,7362
MALUKU UTARA,8032,8308,7980,7792,7545,7423,7234,7200,7059,6935,6813
PAPUA BARAT,8086,8125,7816,7493,7175,7064,6944,6896,6732,6709,6677
PAPUA,6954,7336,7159,6996,6637,6469,6416,6394,6349,6303,6251
