Provinsi,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
ACEH,69.93,69.87,69.64,69.52,69.51,69.5,69.35,69.31,69.23,69.15,69.08
SUMATERA UTARA,69.1,68.95,68.61,68.37,68.33,68.29,68.04,67.94,67.81,67.63,67.46
SUMATERA BARAT,69.47,69.31,69.01,68.78,68.73,68.66,68.32,68.21,68,67.79,67.59
RIAU,71.6,71.48,71.19,70.99,70.97,70.93,70.76,70.67,70.49,70.32,70.15
JAMBI,71.16,71.06,70.89,70.76,70.71,70.56,70.43,70.35,70.19,70.04,69.89
SUMATERA SELATAN,69.88,69.65,69.41,69.18,69.16,69.14,68.93,68.84,68.67,68.51,68.34
BENGKULU,69.35,69.21,68.84,68.59,68.56,68.5,68.36,68.33,68.16,67.98,67.82
LAMPUNG,70.65,70.51,70.18,69.95,69.94,69.9,69.66,69.55,69.33,69.12,68.91
KEP. BANGKA BELITUNG,70.64,70.5,70.18,69.95,69.92,69.88,69.72,69.64,69.48,69.31,69.15
KEPULAUAN RIAU,69.96,69.8,69.64,69.48,69.45,69.41,69.15,69.05,68.85,68.63,68.42
DKI JAKARTA,72.91,72.79,72.67,72.55,72.49,72.43,72.27,72.19,72.03,71.87,71.71
JAWA BARAT,73.04,72.85,72.66,72.47,72.44,72.41,72.23,72.09,71.82,71.56,71.29
JAWA TENGAH,74.37,74.23,74.18,74.08,74.02,73.96,73.88,73.28,73.09,72.91,72.73
D I YOGYAKARTA,74.99,74.92,74.82,74.74,74.71,74.68,74.5,74.45,74.36,74.26,74.17
JAWA TIMUR,71.3,71.18,70.97,70.8,70.74,70.68,70.45,70.34,70.14,70.02,69.89
BANTEN,69.96,69.84,69.64,69.49,69.46,69.43,69.13,69.04,68.86,68.68,68.5
BALI,72.13,71.99,71.68,71.46,71.41,71.35,71.19,71.11,70.94,70.78,70.61
NUSA TENGGARA BARAT,66.51,66.28,65.87,65.55,65.48,65.38,64.89,64.74,64.43,64.13,63.82
NUSA TENGGARA TIMUR,67.01,66.85,66.38,66.07,66.04,65.96,65.91,65.82,65.64,65.45,65.28
KALIMANTAN BARAT,70.69,70.56,70.18,69.92,69.9,69.87,69.76,69.66,69.46,69.26,69.06
KALIMANTAN TENGAH,69.74,69.69,69.64,69.59,69.57,69.54,69.39,69.29,69.18,69.09,68.98
KALIMANTAN SELATAN,68.66,68.49,68.23,68.02,67.92,67.8,67.47,67.35,67.11,66.88,66.65
KALIMANTAN TIMUR,74.33,74.22,73.96,73.7,73.68,73.65,73.62,73.52,73.32,73.1,72.89
KALIMANTAN UTARA,72.59,72.54,72.5,72.47,72.43,72.16,72.12,72.02,71.82,71.6,71.39
SULAWESI UTARA,71.69,71.58,71.26,71.04,71.02,70.99,70.94,70.86,70.7,70.55,70.4
SULAWESI TENGAH,68.69,68.23,67.78,67.32,67.31,67.26,67.18,67.02,66.7,66.39,66.07
SULAWESI SELATAN,70.57,70.43,70.08,69.84,69.82,69.8,69.59,69.5,69.31,69.12,68.93
SULAWESI TENGGARA,71.22,70.97,70.72,70.47,70.46,70.44,70.39,70.28,70.06,69.85,69.65
GORONTALO,68.07,67.93,67.45,67.14,67.13,67.12,67,66.92,66.76,66.59,66.41
SULAWESI BARAT,65.06,64.82,64.58,64.34,64.31,64.22,64.04,63.32,63.04,62.78,62.5
MALUKU,65.98,65.82,65.59,65.4,65.35,65.31,65.01,64.93,64.77,64.61,64.46
MALUKU UTARA,68.33,68.18,67.8,67.54,67.51,67.44,67.33,67.24,67.05,66.87,66.7
PAPUA BARAT,66.02,65.9,65.55,65.32,65.3,65.19,65.13,65.05,64.88,64.75,64.59
PAPUA,65.79,65.65,65.36,65.14,65.12,65.09,64.84,64.76,64.6,64.46,64.31
